model,model_revision,precision,lang,item_id,pred,gold,correct
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Training#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Coaching_Youth_Middle_Distance_Runners/Training#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Behavioural_and_Neuroscience_Methods#1,4,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Behavioural_and_Neuroscience_Methods#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Evolutionary_Perspective_on_Social_Cognitions#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Evolutionary_Perspective_on_Social_Cognitions#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Knowledge_Representation_and_Hemispheric_Specialisation#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Knowledge_Representation_and_Hemispheric_Specialisation#2,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Problem_Solving_from_an_Evolutionary_Perspective#1,1,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Problem_Solving_from_an_Evolutionary_Perspective#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Communication_Theory/Nonverbal_Communication#1,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Communication_Theory/Nonverbal_Communication#2,1,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Communication_Theory/Orality_and_Literacy#1,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Communication_Theory/Orality_and_Literacy#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Communication_Theory/Uses_and_Gratifications#1,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Communication_Theory/Uses_and_Gratifications#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Costume_History/Gothic#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Costume_History/Gothic#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Environmental_theory_and_collection_of_ideas/Environmentalism_and_survival#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Environmental_theory_and_collection_of_ideas/Environmentalism_and_survival#2,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/Absolutism_in_Europe#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/Absolutism_in_Europe#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/Challenges_to_Spiritual_Authority#1,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/Revolution_in_France#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/Revolution_in_France#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/World_War_I#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/European_History/World_War_I#2,1,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Exercise_as_it_relates_to_Disease/Can_Exercise_Really_Help_Multiple_Sclerosis%3F#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Exercise_as_it_relates_to_Disease/Physical_activity_effect_on_mental_health_in_people_with_chronic_lower_back_pain#1,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Fencing#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/First_Aid/Poisoning#1,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/First_Aid/Primary_Assessment_%26_Basic_Life_Support#1,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/First_Aid/Primary_Assessment_%26_Basic_Life_Support#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/French_Revolution/Effects#1,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/French_Revolution/Effects#2,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Introduction#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Introduction#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Traffic_Flow#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Fundamentals_of_Transportation/Traffic_Flow#2,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,"https://en.wikibooks.org/wiki/General_Biology/Genetics/DNA,_The_Genetic_Material#1",4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/General_Biology/Genetics/Mutation#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/General_Biology/Genetics/Mutation#2,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Goats/Introduction#1,4,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Golf#1,1,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Golf#2,1,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/High_School_Biology/Nature_of_Science#1,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/High_School_Biology/Nature_of_Science#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/High_School_Earth_Science/Storms#1,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/High_School_Earth_Science/Storms#2,2,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/High_School_Earth_Science/Telescopes#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/History_of_Islam/Early_Islam#1,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/History_of_Rail_Transport/Early_Rail_Transportation#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/History_of_Rail_Transport/Early_Rail_Transportation#2,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/History_of_Technology/Cultural_Determinism#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/History_of_Technology/Technological_Determinism#1,2,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/How_to_Play_Violin/Bowing#1,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/How_to_Play_Violin/Bowing#2,1,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Bones#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Bones#2,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Genetics/Introduction#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Genetics/Introduction#2,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Oldowan#1,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Paleoanthropology/Oldowan#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Culture#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Race_and_Ethnicity#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Race_and_Ethnicity#2,1,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Socialization#1,4,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Socialization#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Society#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introduction_to_Sociology/Society#2,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introductory_Tourism#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Introductory_Tourism#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Learning_Theories/Organizational_Learning:_Influencing_Factors#1,2,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Learning_Theories/Organizational_Learning:_Influencing_Factors#2,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Learning_Theories/Post-Modern_Theories#1,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Learning_Theories/Post-Modern_Theories#2,3,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Lucid_Dreaming/Induction_Techniques#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Lucid_Dreaming/Induction_Techniques#2,1,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Lucid_Dreaming/Introduction#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Lucid_Dreaming/Introduction#2,1,2,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Managing_Groups_and_Teams/How_Do_You_Build_High-performing_Virtual_Teams%3F#1,3,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Managing_Groups_and_Teams/How_Do_You_Build_High-performing_Virtual_Teams%3F#2,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Managing_Groups_and_Teams/Motivation#1,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Modern_Photography/Composition#1,2,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Modern_Photography/Format#1,4,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Modern_Photography/Lenses#1,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Modern_Photography/Lenses#2,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Mysticism/What_is_mysticism%3F#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Mysticism/What_is_mysticism%3F#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/New_Zealand_History/Polynesian_Settlement#1,1,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/New_Zealand_History/Polynesian_Settlement#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Origami/Types/Pureland_Origami#1,3,4,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Origami/Types/Pureland_Origami#2,4,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Pakistani_History/Prehistory/Bronze_Age/Indus_Valley_Civilization#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Pakistani_History/Prehistory/Bronze_Age/Indus_Valley_Civilization#2,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Peak_Oil:_High_Tide_for_an_Oil_Addicted_World/Personal_Action#1,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Peak_Oil:_High_Tide_for_an_Oil_Addicted_World/Personal_Action#2,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Philippine_History/The_Philippine-American_War#1,4,4,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Remembering_the_Templars#1,3,3,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Remembering_the_Templars#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Roman_Culture/Medicine#1,2,1,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Roman_Culture/Medicine#2,2,3,0
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System#1,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Sensory_Systems/Visual_System#2,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Sikhism#1,2,2,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Sikhism#2,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Special_Needs/ADD#1,1,1,1
qwen2.5-3b-instruct,aa8e72537993ba99e69dfaafa59ed015b17504d1,fp16,asm_Beng,https://en.wikibooks.org/wiki/Social_and_Cultural_Foundations_of_American_Education/Special_Needs/ADD#2,4,4,1
